tmdb_id_tmdb,imdb_id,title,original_title,original_language,overview,poster_path,release_date,genres_tmdb_names,runtime,revenue,popularity_tmdb,averageRating,numVotes,primaryTitle,originalTitle,genres,startYear,tmdb_id_imdb,tmdb_id
786892,tt12037194,Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,en,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",/iADOJ8Zymht2JPMoy3R7xceZprc.jpg,2024-05-22,"Action, Science Fiction, Adventure",149,174287546,13.6113,7.5,306809,Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,"Action,Adventure,Sci-Fi",2024.0,786892,786892
436270,tt6443346,Black Adam,Black Adam,en,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",/rCtreCr4xiYEWDQTebybolIh6Xe.jpg,2022-10-19,"Action, Adventure, Science Fiction",125,393452111,6.3473,6.1,298296,Black Adam,Black Adam,"Action,Adventure,Fantasy",2022.0,436270,436270
624860,tt10838180,The Matrix Resurrections,The Matrix Resurrections,en,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.",/8c4a8kE7PizaGQQnditMmI1xbRp.jpg,2021-12-16,"Science Fiction, Action, Adventure",147,156497322,6.9444,5.6,298020,The Matrix Resurrections,The Matrix Resurrections,"Action,Sci-Fi",2021.0,624860,624860
580489,tt7097896,Venom: Let There Be Carnage,Venom: Let There Be Carnage,en,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",/pzKsRuKLFmYrW5Q0q8E8G78Tcgo.jpg,2021-09-30,"Science Fiction, Action, Adventure",97,506863592,8.0063,5.9,296034,Venom: Let There Be Carnage,Venom: Let There Be Carnage,"Action,Sci-Fi,Thriller",2021.0,580489,580489
466420,tt5537002,Killers of the Flower Moon,Killers of the Flower Moon,en,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.",/dB6Krk806zeqd0YNp2ngQ9zXteH.jpg,2023-10-18,"Crime, History, Drama",206,158722599,11.4132,7.5,294119,Killers of the Flower Moon,Killers of the Flower Moon,"Crime,Drama,History",2023.0,466420,466420
335787,tt1464335,Uncharted,Uncharted,en,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,2022-02-10,"Action, Adventure",116,407141258,5.6644,6.3,291363,Uncharted,Uncharted,"Action,Adventure",2022.0,335787,335787
639933,tt11138512,The Northman,The Northman,en,"Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father.",/aSSJMnHknzKjlZ6zybwD7eyJ4Po.jpg,2022-04-07,"Action, Adventure, Fantasy",137,69633110,7.801,7.0,290004,The Northman,The Northman,"Action,Adventure,Drama",2022.0,639933,639933
568124,tt2953050,Encanto,Encanto,en,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,2021-10-13,"Animation, Comedy, Family, Fantasy",102,261292688,17.6543,7.2,289073,Encanto,Encanto,"Animation,Comedy,Family",2021.0,568124,568124
337404,tt3228774,Cruella,Cruella,en,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",/hjS9mH8KvRiGHgjk6VUZH7OT0Ng.jpg,2021-05-26,"Comedy, Crime, Adventure",134,233503234,9.3173,7.3,288531,Cruella,Cruella,"Adventure,Comedy,Crime",2021.0,337404,337404
674324,tt11813216,The Banshees of Inisherin,The Banshees of Inisherin,en,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",/4yFG6cSPaCaPhyJ1vtGOtMD1lgh.jpg,2022-10-20,"Drama, Comedy",114,49300000,4.2622,7.7,287225,The Banshees of Inisherin,The Banshees of Inisherin,"Comedy,Drama",2022.0,674324,674324
