tmdb_id,imdb_id,title,original_title,original_language,overview,poster_path,release_date,genres_tmdb_names,runtime,revenue,popularity_tmdb
719256,tt10098448,Jesus Revolution,Jesus Revolution,en,"In the 1970s, aimless teenager Greg Laurie searches for all the right things in all the wrong places until he meets Lonnie Frisbee, a charismatic hippie/street preacher. Together with local pastor Chuck Smith, they open the doors of a languishing church to an unexpected revival.",/A3qqrl8lJvlpRCwkbUEADXzVaDC.jpg,2023-02-23,"Drama, History",120,52300000,3.4861
667869,tt10627584,The Life Ahead,La vita davanti a sé,it,"In seaside Italy, a Holocaust survivor with a daycare business takes in a 12-year-old street kid who recently robbed her.",/6oTn5kXRS84exXTC7XcqotKZu9B.jpg,2020-11-03,Drama,94,0,0.9598
1067282,tt26537229,Demon Slayer: Kimetsu no Yaiba -To the Swordsmith Village-,「鬼滅の刃」上弦集結、そして刀鍛冶の里へ,ja,"A recap of Kimetsu no Yaiba episodes 43–45, with new footage and special end credits. Together with his comrades, Zenitsu and Inosuke, along with one of the top-ranking members of the Demon Slayer Corps, Tengen Uzui, Tanjiro embarks on a mission within the Entertainment District, where they encounter the formidable, high-ranking demons, Daki and Gyutaro.",/hEhGrcST85vMd63PBDgPBqih2tR.jpg,2023-02-03,"Animation, Action, Fantasy, Thriller",115,56319794,10.4906
1166133,tt27431598,Bramayugam,ഭ്രമയുഗം,ml,"A folk singer in 17th-century Kerala discovers a mansion. Inside, he encounters an enigmatic cook and a powerful master, setting in motion a chain of events that changes his life.",/snQLwRrfQAl5YFKVefZq9Lbscki.jpg,2024-02-15,"Horror, Thriller, Drama",140,10000000,2.8867
685691,tt14176542,"BARDO, False Chronicle of a Handful of Truths","Bardo, falsa crónica de unas cuantas verdades",es,"A renowned Mexican journalist and documentary filmmaker living in Los Angeles, after being named the recipient of a prestigious international award, is compelled to return to his native country, unaware that this simple trip will push him to an existential limit.",/3e6RA0CzFDC0pz5TqiRlbHcsc2n.jpg,2022-10-27,"Comedy, Drama",159,0,1.3629
866440,tt9006564,2018,2018,ml,A disaster film set during the 2018 Kerala Floods where people from all walks of life faced catastrophic consequences and put in collective efforts to survive the calamity.,/uz9qc6lNGyqS2xvuXUfpJh2eP6b.jpg,2023-05-05,"Thriller, Action, Adventure",150,24076520,2.2812
820722,tt13066182,The Good Boss,El buen patrón,es,"Julio Blanco is the proprietor of Básculas Blanco, a Spanish company producing industrial scales in a provincial Spanish town, which awaits the imminent visit from a committee that will decide if they merit a local Business Excellence award: everything has to be perfect when the time comes. Working against the clock, Blanco pulls out all the stops to address and resolve issues with his employees, crossing every imaginable line in the process.",/x1OgeRKB8AoOYKt3DzxJelLLpLA.jpg,2021-10-15,"Comedy, Drama",120,365000,1.6657
957457,tt9883832,Moonage Daydream,Moonage Daydream,en,A cinematic odyssey featuring never-before-seen footage exploring David Bowie's creative and musical journey.,/tJCZI1tO0sYIV0mGo0Awcr996vm.jpg,2022-09-15,"Documentary, Music",134,10680627,2.9857
714338,tt12393526,Bulbbul,बुलबुल,hi,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.",/4XYEqHqvcf6vxFhNyeKZz5xbUfV.jpg,2020-06-24,"Horror, Fantasy, Thriller",94,0,3.3724
526019,tt7545266,Like a Boss,Like a Boss,en,"Two female friends with very different ideals decide to start a beauty company together. One is more practical, while the other wants to earn her fortune and live a lavish lifestyle.",/yce0CZPWd0GGudksRJi8p4gDj1M.jpg,2020-01-09,Comedy,83,26900000,2.138
1087822,tt26757462,Hellboy: The Crooked Man,Hellboy: The Crooked Man,en,"Hellboy and a rookie BPRD agent get stranded in 1950s rural Appalachia. There, they discover a small community haunted by witches, led by a local devil with a troubling connection to Hellboy's past: the Crooked Man.",/3ZVv8XpfTbveKaHB4gsBolulmmk.jpg,2024-08-29,"Fantasy, Horror, Action",100,2014050,4.2317
1062215,tt24577462,Afraid,Afraid,en,Curtis Pike and his family are selected to test a new home device: a digital assistant called AIA. AIA observes the family's behaviors and begins to anticipate their needs. And she can – and will – make sure nothing – and no one – gets in her family's way.,/gUREuXCnJLVHsvKXDH9fgIcfM6e.jpg,2024-08-28,"Horror, Science Fiction, Thriller",84,12977758,5.0275
834027,tt14731254,Val,Val,en,"For over 40 years Val Kilmer, one of Hollywood’s most mercurial and/or misunderstood actors has been documenting his own life and craft through film and video. He has amassed thousands of hours of footage, from 16mm home movies made with his brothers, to time spent in iconic roles for blockbuster movies like Top Gun, The Doors, Tombstone, and Batman Forever. This raw, wildly original and unflinching documentary reveals a life lived to extremes and a heart-filled, sometimes hilarious look at what it means to be an artist and a complex man.",/vWJKmfmjpkFeTbUGep6t7w5TexA.jpg,2021-07-23,Documentary,109,0,2.715
944952,tt18363072,The Royal Hotel,The Royal Hotel,en,"After running out of money while backpacking in a tiny, male-dominated town in the Australian outback, two friends resort to a working holiday at the Royal Hotel. When the locals' behavior starts crossing the line, the girls find themselves trapped in an unnerving situation that grows rapidly out of their control.",/oJwb2PV1LGxDp6Q3lynrjADxOIv.jpg,2023-10-06,"Drama, Thriller",91,877412,2.6821
899445,tt14865406,Deep Fear,Deep Fear,en,A solo trip aboard a yacht takes a terrifying turn when a woman encounters three drug traffickers clinging to the shattered remains of a boat. They soon force her to dive into shark-infested waters to retrieve kilos of cocaine from the sunken wreck.,/ms1omYCnhnO3eDOI88tfiy6SaoX.jpg,2023-10-18,"Horror, Thriller, Action, Mystery",84,0,2.9503
842675,tt13539646,The Wandering Earth II,流浪地球2,zh,"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death.",/jAZzFYS36UFT0SKhKVmEY7qShal.jpg,2023-01-22,"Science Fiction, Action, Adventure",173,5,6.1353
